"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","353"
"eastern cape","Public Health","4274"
"free state","Private Health","458"
"free state","Public Health","1886"
"gauteng","Private Health","2571"
"gauteng","Public Health","4146"
"kwazulu-natal","Private Health","545"
"kwazulu-natal","Public Health","3658"
"limpopo","Private Health","298"
"limpopo","Public Health","2918"
"mpumalanga","Private Health","269"
"mpumalanga","Public Health","2309"
"northern cape","Private Health","63"
"northern cape","Public Health","1115"
"north west","Private Health","304"
"north west","Public Health","1312"
"western cape","Private Health","1065"
"western cape","Public Health","1911"
