"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538757"
"kwazulu-natal","Private Health","1238905"
"western cape","Private Health","1924980"
"limpopo","Private Health","612528"
"northern cape","Public Health","619285"
"gauteng","Private Health","4591425"
"kwazulu-natal","Public Health","4705977"
"mpumalanga","","23"
"free state","Public Health","1881022"
"north west","Public Health","1808156"
"gauteng","Public Health","5904834"
"mpumalanga","Private Health","407010"
"mpumalanga","Public Health","1962682"
"western cape","","3"
"northern cape","Private Health","158537"
"eastern cape","Private Health","695659"
"western cape","Public Health","3711235"
"limpopo","Public Health","3195605"
"limpopo","","2"
"free state","Private Health","402831"
"eastern cape","Public Health","3629632"
