"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","26"
"eastern cape","Public Health","1086"
"free state","Private Health","36"
"free state","Public Health","312"
"gauteng","Private Health","317"
"gauteng","Public Health","1507"
"kwazulu-natal","Private Health","15"
"kwazulu-natal","Public Health","582"
"limpopo","Private Health","105"
"limpopo","Public Health","1124"
"mpumalanga","Private Health","6"
"mpumalanga","Public Health","475"
"northern cape","Public Health","308"
"north west","Private Health","26"
"north west","Public Health","506"
"western cape","Private Health","17"
"western cape","Public Health","372"
