"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Public Health","66"
"free state","Public Health","1"
"gauteng","Private Health","45"
"gauteng","Public Health","37"
"kwazulu-natal","Private Health","23"
"kwazulu-natal","Public Health","155"
"limpopo","Private Health","12"
"limpopo","Public Health","6"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","13"
"northern cape","Private Health","44"
"northern cape","Public Health","1"
"north west","Public Health","196"
"western cape","Private Health","3"
"western cape","Public Health","3"
