"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","12"
"Janssen Vaccines & Prevention B.V","free state","Adults","0"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","17"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","24"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","5"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","4"
"Janssen Vaccines & Prevention B.V","north west","Adults","13"
"Janssen Vaccines & Prevention B.V","western cape","Adults","1"
"Pfizer","eastern cape","12-17 Years","3"
"Pfizer","eastern cape","Adults","3"
"Pfizer","gauteng","12-17 Years","7"
"Pfizer","gauteng","Adults","22"
"Pfizer","kwazulu-natal","12-17 Years","12"
"Pfizer","kwazulu-natal","Adults","34"
"Pfizer","limpopo","12-17 Years","1"
"Pfizer","limpopo","Adults","1"
"Pfizer","mpumalanga","12-17 Years","1"
"Pfizer","mpumalanga","Adults","1"
"Pfizer","northern cape","12-17 Years","0"
"Pfizer","northern cape","Adults","8"
"Pfizer","north west","12-17 Years","4"
"Pfizer","north west","Adults","22"
"Pfizer","western cape","Adults","1"
