"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","532979"
"kwazulu-natal","Private Health","1226139"
"western cape","Private Health","1904943"
"limpopo","Private Health","598063"
"northern cape","Public Health","593894"
"gauteng","Private Health","4526199"
"kwazulu-natal","Public Health","4568634"
"free state","Public Health","1832397"
"north west","Public Health","1768599"
"gauteng","Public Health","5769767"
"mpumalanga","Private Health","401052"
"mpumalanga","Public Health","1877000"
"northern cape","Private Health","156353"
"eastern cape","Private Health","686377"
"western cape","Public Health","3645658"
"limpopo","Public Health","3091553"
"free state","Private Health","395919"
"eastern cape","Public Health","3450103"
