"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10498","5129","15627"
"National","eastern cape","Private Health","Male","8870","3981","12851"
"National","eastern cape","Public Health","Female","143952","50904","194856"
"National","eastern cape","Public Health","Male","118028","35570","153598"
"National","free state","Private Health","Female","9167","4611","13778"
"National","free state","Private Health","Male","7519","3494","11013"
"National","free state","Public Health","Female","83824","39889","123713"
"National","free state","Public Health","Male","71624","29833","101457"
"National","gauteng","Private Health","Female","53761","30345","84106"
"National","gauteng","Private Health","Male","49368","25968","75336"
"National","gauteng","Public Health","Female","163397","65750","229147"
"National","gauteng","Public Health","Male","129069","48174","177243"
"National","kwazulu-natal","Private Health","Female","17188","9705","26893"
"National","kwazulu-natal","Private Health","Male","15542","8263","23805"
"National","kwazulu-natal","Public Health","Female","156290","64342","220632"
"National","kwazulu-natal","Public Health","Male","106375","39120","145495"
"National","limpopo","Private Health","Female","11824","5169","16993"
"National","limpopo","Private Health","Male","9203","3621","12824"
"National","limpopo","Public Health","Female","141017","47611","188628"
"National","limpopo","Public Health","Male","122502","35634","158136"
"National","mpumalanga","Private Health","Female","4028","1732","5760"
"National","mpumalanga","Private Health","Male","3511","1516","5027"
"National","mpumalanga","Public Health","Female","75518","25480","100998"
"National","mpumalanga","Public Health","Male","62734","17785","80519"
"National","northern cape","Private Health","Female","2142","1070","3212"
"National","northern cape","Private Health","Male","1969","816","2785"
"National","northern cape","Public Health","Female","17149","5743","22892"
"National","northern cape","Public Health","Male","13411","4209","17620"
"National","north west","Private Health","Female","5251","2449","7700"
"National","north west","Private Health","Male","4753","2049","6802"
"National","north west","Public Health","Female","78967","27880","106847"
"National","north west","Public Health","Male","65391","20166","85557"
"National","western cape","Private Health","Female","23629","12719","36348"
"National","western cape","Private Health","Male","21269","10990","32259"
"National","western cape","Public Health","Female","47032","15870","62902"
"National","western cape","Public Health","Male","39302","13015","52317"
