"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","14"
"eastern cape","Public Health","63"
"free state","Public Health","3"
"gauteng","Private Health","91"
"gauteng","Public Health","84"
"kwazulu-natal","Private Health","4"
"kwazulu-natal","Public Health","46"
"limpopo","Private Health","3"
"limpopo","Public Health","42"
"mpumalanga","Public Health","70"
"northern cape","Public Health","21"
"north west","Public Health","74"
"western cape","Private Health","16"
"western cape","Public Health","47"
