"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","12"
"eastern cape","Public Health","891"
"free state","Private Health","11"
"free state","Public Health","153"
"gauteng","Private Health","235"
"gauteng","Public Health","969"
"kwazulu-natal","Private Health","21"
"kwazulu-natal","Public Health","310"
"limpopo","Private Health","26"
"limpopo","Public Health","562"
"mpumalanga","Private Health","2"
"mpumalanga","Public Health","304"
"northern cape","Public Health","95"
"north west","Private Health","15"
"north west","Public Health","78"
"western cape","Private Health","25"
"western cape","Public Health","452"
