"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","17"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","34"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","51"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","10"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","12"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","4"
"Janssen Vaccines & Prevention B.V","north west","Adults","57"
"Janssen Vaccines & Prevention B.V","western cape","Adults","3"
"Pfizer","eastern cape","12-17 Years","4"
"Pfizer","eastern cape","Adults","6"
"Pfizer","gauteng","12-17 Years","13"
"Pfizer","gauteng","Adults","68"
"Pfizer","kwazulu-natal","12-17 Years","25"
"Pfizer","kwazulu-natal","Adults","87"
"Pfizer","limpopo","12-17 Years","2"
"Pfizer","limpopo","Adults","14"
"Pfizer","mpumalanga","12-17 Years","2"
"Pfizer","mpumalanga","Adults","2"
"Pfizer","northern cape","12-17 Years","0"
"Pfizer","north west","12-17 Years","26"
"Pfizer","north west","Adults","58"
"Pfizer","western cape","Adults","1"
