"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","4"
"eastern cape","Public Health","48"
"free state","Public Health","4"
"gauteng","Private Health","129"
"gauteng","Public Health","37"
"kwazulu-natal","Private Health","6"
"kwazulu-natal","Public Health","92"
"limpopo","Private Health","6"
"limpopo","Public Health","2"
"mpumalanga","Public Health","13"
"northern cape","Public Health","17"
"north west","Public Health","82"
"western cape","Private Health","18"
"western cape","Public Health","52"
