"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","3","0","0","3"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","13","0","9","22"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","26","0","21","47"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","7","0","1","8"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","7","0","2","9"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","2","0","3","5"
"Janssen Vaccines & Prevention B.V","north west","Adults","16","0","20","36"
"Janssen Vaccines & Prevention B.V","western cape","Adults","10","0","5","15"
"Pfizer","eastern cape","12-17 Years","23","2","0","25"
"Pfizer","eastern cape","Adults","4","14","6","24"
"Pfizer","free state","12-17 Years","1","1","0","2"
"Pfizer","free state","Adults","1","0","1","2"
"Pfizer","gauteng","12-17 Years","17","19","0","36"
"Pfizer","gauteng","Adults","34","36","38","108"
"Pfizer","kwazulu-natal","12-17 Years","4","0","0","4"
"Pfizer","kwazulu-natal","Adults","20","20","7","47"
"Pfizer","limpopo","Adults","0","0","0","0"
"Pfizer","mpumalanga","Adults","0","1","3","4"
"Pfizer","northern cape","12-17 Years","2","0","0","2"
"Pfizer","northern cape","Adults","4","3","3","10"
"Pfizer","north west","12-17 Years","6","0","0","6"
"Pfizer","north west","Adults","14","14","12","40"
"Pfizer","western cape","12-17 Years","8","8","0","16"
"Pfizer","western cape","Adults","8","14","17","39"
