"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","7"
"eastern cape","Public Health","15"
"free state","Public Health","1"
"gauteng","Private Health","46"
"gauteng","Public Health","37"
"kwazulu-natal","Private Health","1"
"kwazulu-natal","Public Health","41"
"limpopo","Private Health","52"
"limpopo","Public Health","9"
"mpumalanga","Private Health","2"
"mpumalanga","Public Health","19"
"northern cape","Public Health","2"
"north west","Private Health","9"
"north west","Public Health","137"
"western cape","Private Health","15"
"western cape","Public Health","6"
