"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","529105"
"kwazulu-natal","Private Health","1216560"
"western cape","Private Health","1889998"
"limpopo","Private Health","592112"
"northern cape","Public Health","579092"
"gauteng","Private Health","4484917"
"kwazulu-natal","Public Health","4494931"
"free state","Public Health","1806938"
"north west","Public Health","1750061"
"gauteng","Public Health","5715352"
"mpumalanga","Private Health","395190"
"mpumalanga","Public Health","1835571"
"northern cape","Private Health","155002"
"eastern cape","Private Health","680769"
"western cape","Public Health","3620206"
"limpopo","Public Health","3056810"
"free state","Private Health","392515"
"eastern cape","Public Health","3399527"
