"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","909588"
"Janssen Vaccines & Prevention B.V","free state","Adults","483491"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1524499"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1225283"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1072527"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","812020"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","213016"
"Janssen Vaccines & Prevention B.V","north west","Adults","709061"
"Janssen Vaccines & Prevention B.V","western cape","Adults","744728"
"Pfizer","eastern cape","12-17 Years","93369"
"Pfizer","eastern cape","Adults","1110572"
"Pfizer","free state","12-17 Years","76072"
"Pfizer","free state","Adults","583983"
"Pfizer","gauteng","12-17 Years","166412"
"Pfizer","gauteng","Adults","3354108"
"Pfizer","kwazulu-natal","12-17 Years","116700"
"Pfizer","kwazulu-natal","Adults","1621623"
"Pfizer","limpopo","12-17 Years","88330"
"Pfizer","limpopo","Adults","867584"
"Pfizer","mpumalanga","12-17 Years","44961"
"Pfizer","mpumalanga","Adults","463052"
"Pfizer","northern cape","12-17 Years","11153"
"Pfizer","northern cape","Adults","190268"
"Pfizer","north west","12-17 Years","51610"
"Pfizer","north west","Adults","533286"
"Pfizer","western cape","12-17 Years","51471"
"Pfizer","western cape","Adults","1849851"
