"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","533621"
"kwazulu-natal","Private Health","1228143"
"western cape","Private Health","1908568"
"limpopo","Private Health","599595"
"northern cape","Public Health","599392"
"gauteng","Private Health","4534703"
"kwazulu-natal","Public Health","4587190"
"free state","Public Health","1838385"
"north west","Public Health","1772744"
"gauteng","Public Health","5780266"
"mpumalanga","Private Health","402737"
"mpumalanga","Public Health","1887862"
"northern cape","Private Health","156550"
"eastern cape","Private Health","687903"
"western cape","Public Health","3651320"
"limpopo","Public Health","3098391"
"free state","Private Health","396569"
"eastern cape","Public Health","3464657"
