"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","855225","0","141193","996418"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","462181","0","87867","550048"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1404113","0","196492","1600605"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1145921","0","170742","1316663"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1043659","0","140225","1183884"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","803899","0","117828","921727"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","206034","0","32899","238933"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","689380","0","108281","797661"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","655053","0","107140","762193"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60865","0","24219","85084"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24394","0","12199","36593"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137434","0","65383","202817"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94495","0","40023","134518"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34183","0","17016","51199"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21914","0","7151","29065"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23473","0","8964","32437"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94613","0","61527","156140"
"Pfizer","National","eastern cape","Adults","1336533","1124367","230775","2691675"
"Pfizer","National","eastern cape","12-17 Years","281797","97586","0","379383"
"Pfizer","National","free state","12-17 Years","171817","78333","0","250150"
"Pfizer","National","free state","Adults","672839","591232","134092","1398163"
"Pfizer","National","gauteng","12-17 Years","394516","170294","13","564823"
"Pfizer","National","gauteng","Adults","3904451","3383191","659082","7946724"
"Pfizer","National","kwazulu-natal","Adults","1977889","1645150","322666","3945705"
"Pfizer","National","kwazulu-natal","12-17 Years","295452","122987","8","418447"
"Pfizer","National","limpopo","Adults","1040837","875757","169130","2085724"
"Pfizer","National","limpopo","12-17 Years","284616","92563","0","377179"
"Pfizer","National","mpumalanga","12-17 Years","145935","46987","0","192922"
"Pfizer","National","mpumalanga","Adults","571964","471893","103028","1146885"
"Pfizer","National","northern cape","12-17 Years","35347","12566","0","47913"
"Pfizer","National","northern cape","Adults","226180","193550","35447","455177"
"Pfizer","National","north west","12-17 Years","154045","52713","4","206762"
"Pfizer","National","north west","Adults","621715","538642","109148","1269505"
"Pfizer","National","western cape","12-17 Years","130938","52748","2","183688"
"Pfizer","National","western cape","Adults","2118461","1860864","478542","4457867"
