"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","532855"
"kwazulu-natal","Private Health","1225822"
"western cape","Private Health","1904403"
"limpopo","Private Health","597905"
"northern cape","Public Health","593281"
"gauteng","Private Health","4524868"
"kwazulu-natal","Public Health","4566376"
"free state","Public Health","1831558"
"north west","Public Health","1768250"
"gauteng","Public Health","5768308"
"mpumalanga","Private Health","400744"
"mpumalanga","Public Health","1875247"
"northern cape","Private Health","156292"
"eastern cape","Private Health","686166"
"western cape","Public Health","3644679"
"limpopo","Public Health","3090997"
"free state","Private Health","395759"
"eastern cape","Public Health","3448528"
