"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10544","5128","15672"
"National","eastern cape","Private Health","Male","8891","3960","12851"
"National","eastern cape","Public Health","Female","144158","50707","194865"
"National","eastern cape","Public Health","Male","118193","35444","153637"
"National","free state","Private Health","Female","9200","4577","13777"
"National","free state","Private Health","Male","7532","3489","11021"
"National","free state","Public Health","Female","83946","39794","123740"
"National","free state","Public Health","Male","71748","29747","101495"
"National","gauteng","Private Health","Female","53874","30164","84038"
"National","gauteng","Private Health","Male","49455","25819","75274"
"National","gauteng","Public Health","Female","163691","65519","229210"
"National","gauteng","Public Health","Male","129286","47984","177270"
"National","kwazulu-natal","Private Health","Female","17273","9700","26973"
"National","kwazulu-natal","Private Health","Male","15609","8244","23853"
"National","kwazulu-natal","Public Health","Female","156137","63717","219854"
"National","kwazulu-natal","Public Health","Male","106310","38819","145129"
"National","limpopo","Private Health","Female","11835","5140","16975"
"National","limpopo","Private Health","Male","9216","3585","12801"
"National","limpopo","Public Health","Female","141207","47340","188547"
"National","limpopo","Public Health","Male","122655","35444","158099"
"National","mpumalanga","Private Health","Female","4041","1725","5766"
"National","mpumalanga","Private Health","Male","3525","1506","5031"
"National","mpumalanga","Public Health","Female","75484","25349","100833"
"National","mpumalanga","Public Health","Male","62722","17689","80411"
"National","northern cape","Private Health","Female","2143","1065","3208"
"National","northern cape","Private Health","Male","1972","806","2778"
"National","northern cape","Public Health","Female","17049","5594","22643"
"National","northern cape","Public Health","Male","13345","4110","17455"
"National","north west","Private Health","Female","5273","2443","7716"
"National","north west","Private Health","Male","4759","2042","6801"
"National","north west","Public Health","Female","79147","27874","107021"
"National","north west","Public Health","Male","65523","20129","85652"
"National","western cape","Private Health","Female","23666","12639","36305"
"National","western cape","Private Health","Male","21313","10942","32255"
"National","western cape","Public Health","Female","47227","15827","63054"
"National","western cape","Public Health","Male","39389","12956","52345"
