"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","531946"
"kwazulu-natal","Private Health","1223219"
"western cape","Private Health","1900281"
"limpopo","Private Health","596268"
"northern cape","Public Health","588320"
"gauteng","Private Health","4513892"
"kwazulu-natal","Public Health","4546552"
"free state","Public Health","1824355"
"north west","Public Health","1763173"
"gauteng","Public Health","5754255"
"mpumalanga","Private Health","398860"
"mpumalanga","Public Health","1863210"
"northern cape","Private Health","155953"
"eastern cape","Private Health","684716"
"western cape","Public Health","3637741"
"limpopo","Public Health","3083169"
"free state","Private Health","395006"
"eastern cape","Public Health","3433980"
