"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","95"
"eastern cape","Public Health","565"
"free state","Private Health","6"
"free state","Public Health","526"
"gauteng","Private Health","572"
"gauteng","Public Health","1010"
"kwazulu-natal","Private Health","86"
"kwazulu-natal","Public Health","998"
"limpopo","Private Health","284"
"limpopo","Public Health","711"
"mpumalanga","Private Health","31"
"mpumalanga","Public Health","583"
"northern cape","Private Health","3"
"northern cape","Public Health","63"
"north west","Private Health","43"
"north west","Public Health","220"
"western cape","Private Health","169"
"western cape","Public Health","510"
