"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","49"
"Janssen Vaccines & Prevention B.V","free state","Adults","24"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","250"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","128"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","115"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","117"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","3"
"Janssen Vaccines & Prevention B.V","north west","Adults","40"
"Janssen Vaccines & Prevention B.V","western cape","Adults","81"
"Pfizer","eastern cape","12-17 Years","97"
"Pfizer","eastern cape","Adults","121"
"Pfizer","free state","12-17 Years","101"
"Pfizer","free state","Adults","93"
"Pfizer","gauteng","12-17 Years","64"
"Pfizer","gauteng","Adults","355"
"Pfizer","kwazulu-natal","12-17 Years","159"
"Pfizer","kwazulu-natal","Adults","248"
"Pfizer","limpopo","12-17 Years","61"
"Pfizer","limpopo","Adults","127"
"Pfizer","mpumalanga","12-17 Years","142"
"Pfizer","mpumalanga","Adults","91"
"Pfizer","northern cape","12-17 Years","4"
"Pfizer","northern cape","Adults","12"
"Pfizer","north west","12-17 Years","18"
"Pfizer","north west","Adults","42"
"Pfizer","western cape","12-17 Years","75"
"Pfizer","western cape","Adults","130"
