"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","104"
"eastern cape","Public Health","2346"
"free state","Private Health","51"
"free state","Public Health","856"
"gauteng","Private Health","925"
"gauteng","Public Health","1626"
"kwazulu-natal","Private Health","213"
"kwazulu-natal","Public Health","2083"
"limpopo","Private Health","207"
"limpopo","Public Health","854"
"mpumalanga","Private Health","220"
"mpumalanga","Public Health","1593"
"northern cape","Private Health","22"
"northern cape","Public Health","703"
"north west","Private Health","85"
"north west","Public Health","473"
"western cape","Private Health","333"
"western cape","Public Health","741"
