"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","199"
"Janssen Vaccines & Prevention B.V","free state","Adults","67"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","363"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","436"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","185"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","411"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","99"
"Janssen Vaccines & Prevention B.V","north west","Adults","117"
"Janssen Vaccines & Prevention B.V","western cape","Adults","123"
"Pfizer","eastern cape","12-17 Years","206"
"Pfizer","eastern cape","Adults","402"
"Pfizer","free state","12-17 Years","19"
"Pfizer","free state","Adults","191"
"Pfizer","gauteng","12-17 Years","44"
"Pfizer","gauteng","Adults","610"
"Pfizer","kwazulu-natal","12-17 Years","71"
"Pfizer","kwazulu-natal","Adults","528"
"Pfizer","limpopo","12-17 Years","30"
"Pfizer","limpopo","Adults","148"
"Pfizer","mpumalanga","12-17 Years","62"
"Pfizer","mpumalanga","Adults","247"
"Pfizer","northern cape","12-17 Years","10"
"Pfizer","northern cape","Adults","104"
"Pfizer","north west","12-17 Years","9"
"Pfizer","north west","Adults","84"
"Pfizer","western cape","12-17 Years","18"
"Pfizer","western cape","Adults","193"
