"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","883715"
"Janssen Vaccines & Prevention B.V","free state","Adults","470735"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1465349"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1181650"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1044196"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","776366"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","207742"
"Janssen Vaccines & Prevention B.V","north west","Adults","690623"
"Janssen Vaccines & Prevention B.V","western cape","Adults","726897"
"Pfizer","eastern cape","12-17 Years","45439"
"Pfizer","eastern cape","Adults","1075136"
"Pfizer","free state","12-17 Years","54091"
"Pfizer","free state","Adults","564090"
"Pfizer","gauteng","12-17 Years","125014"
"Pfizer","gauteng","Adults","3251905"
"Pfizer","kwazulu-natal","12-17 Years","61837"
"Pfizer","kwazulu-natal","Adults","1554232"
"Pfizer","limpopo","12-17 Years","57212"
"Pfizer","limpopo","Adults","839667"
"Pfizer","mpumalanga","12-17 Years","27160"
"Pfizer","mpumalanga","Adults","445262"
"Pfizer","northern cape","12-17 Years","7286"
"Pfizer","northern cape","Adults","184225"
"Pfizer","north west","12-17 Years","34884"
"Pfizer","north west","Adults","514623"
"Pfizer","western cape","12-17 Years","47039"
"Pfizer","western cape","Adults","1814974"
