"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","502671"
"kwazulu-natal","Private Health","1168919"
"western cape","Private Health","1807799"
"limpopo","Private Health","559554"
"northern cape","Public Health","534856"
"gauteng","Private Health","4287339"
"kwazulu-natal","Public Health","4125561"
"free state","Public Health","1679229"
"north west","Public Health","1631402"
"gauteng","Public Health","5396558"
"mpumalanga","Private Health","378554"
"mpumalanga","Public Health","1674143"
"northern cape","Private Health","147555"
"eastern cape","Private Health","651204"
"western cape","Public Health","3501649"
"limpopo","Public Health","2815219"
"free state","Private Health","368950"
"eastern cape","Public Health","3119635"
