"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","697"
"eastern cape","Public Health","8402"
"free state","Private Health","530"
"free state","Public Health","3328"
"gauteng","Private Health","4591"
"gauteng","Public Health","8501"
"kwazulu-natal","Private Health","1059"
"kwazulu-natal","Public Health","6773"
"limpopo","Private Health","726"
"limpopo","Public Health","7917"
"mpumalanga","Private Health","558"
"mpumalanga","Public Health","4454"
"northern cape","Private Health","154"
"northern cape","Public Health","1349"
"north west","Private Health","1041"
"north west","Public Health","2890"
"western cape","Private Health","1639"
"western cape","Public Health","3151"
