"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538058"
"kwazulu-natal","Private Health","1237967"
"western cape","Private Health","1923932"
"limpopo","Private Health","611095"
"northern cape","Public Health","613478"
"gauteng","Private Health","4583789"
"kwazulu-natal","Public Health","4686999"
"mpumalanga","","19"
"free state","Public Health","1874139"
"north west","Public Health","1795739"
"gauteng","Public Health","5868684"
"mpumalanga","Private Health","406871"
"mpumalanga","Public Health","1947754"
"western cape","","2"
"northern cape","Private Health","158360"
"eastern cape","Private Health","695220"
"western cape","Public Health","3696101"
"limpopo","Public Health","3170932"
"free state","Private Health","401920"
"eastern cape","Public Health","3585852"
