"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","533973"
"kwazulu-natal","Private Health","1228941"
"western cape","Private Health","1909768"
"limpopo","Private Health","600820"
"northern cape","Public Health","602902"
"gauteng","Private Health","4538988"
"kwazulu-natal","Public Health","4599904"
"free state","Public Health","1842273"
"north west","Public Health","1774659"
"gauteng","Public Health","5786443"
"mpumalanga","Private Health","403867"
"mpumalanga","Public Health","1896367"
"northern cape","Private Health","156691"
"eastern cape","Private Health","688460"
"western cape","Public Health","3654778"
"limpopo","Public Health","3105079"
"free state","Private Health","396887"
"eastern cape","Public Health","3472185"
