"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10417","5107","15524"
"National","eastern cape","Private Health","Male","8818","3964","12782"
"National","eastern cape","Public Health","Female","144614","53034","197648"
"National","eastern cape","Public Health","Male","118643","37411","156054"
"National","free state","Private Health","Female","9125","4632","13757"
"National","free state","Private Health","Male","7499","3562","11061"
"National","free state","Public Health","Female","83758","40464","124222"
"National","free state","Public Health","Male","71599","30352","101951"
"National","gauteng","Private Health","Female","53511","30347","83858"
"National","gauteng","Private Health","Male","49153","26005","75158"
"National","gauteng","Public Health","Female","162808","65770","228578"
"National","gauteng","Public Health","Male","128676","48312","176988"
"National","kwazulu-natal","Private Health","Female","17070","9651","26721"
"National","kwazulu-natal","Private Health","Male","15466","8256","23722"
"National","kwazulu-natal","Public Health","Female","156846","67192","224038"
"National","kwazulu-natal","Public Health","Male","106767","40805","147572"
"National","limpopo","Private Health","Female","11780","5187","16967"
"National","limpopo","Private Health","Male","9172","3624","12796"
"National","limpopo","Public Health","Female","142090","48610","190700"
"National","limpopo","Public Health","Male","123107","36271","159378"
"National","mpumalanga","Private Health","Female","3996","1725","5721"
"National","mpumalanga","Private Health","Male","3480","1522","5002"
"National","mpumalanga","Public Health","Female","76168","26219","102387"
"National","mpumalanga","Public Health","Male","63100","18222","81322"
"National","northern cape","Private Health","Female","2122","1057","3179"
"National","northern cape","Private Health","Male","1947","814","2761"
"National","northern cape","Public Health","Female","17868","6807","24675"
"National","northern cape","Public Health","Male","14015","4980","18995"
"National","north west","Private Health","Female","5210","2431","7641"
"National","north west","Private Health","Male","4728","2041","6769"
"National","north west","Public Health","Female","78774","28036","106810"
"National","north west","Public Health","Male","65262","20338","85600"
"National","western cape","Private Health","Female","23513","12739","36252"
"National","western cape","Private Health","Male","21175","10993","32168"
"National","western cape","Public Health","Female","47047","15969","63016"
"National","western cape","Public Health","Male","39311","13104","52415"
