"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","79"
"eastern cape","Public Health","2428"
"free state","Private Health","47"
"free state","Public Health","1109"
"gauteng","Private Health","754"
"gauteng","Public Health","1434"
"kwazulu-natal","Private Health","175"
"kwazulu-natal","Public Health","1959"
"limpopo","Private Health","247"
"limpopo","Public Health","1415"
"mpumalanga","Private Health","276"
"mpumalanga","Public Health","1622"
"northern cape","Private Health","27"
"northern cape","Public Health","803"
"north west","Private Health","44"
"north west","Public Health","412"
"western cape","Private Health","263"
"western cape","Public Health","661"
