"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","886310"
"Janssen Vaccines & Prevention B.V","free state","Adults","472199"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1471264"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1185444"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1046494"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","780147"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","208261"
"Janssen Vaccines & Prevention B.V","north west","Adults","692900"
"Janssen Vaccines & Prevention B.V","western cape","Adults","729121"
"Pfizer","eastern cape","12-17 Years","49776"
"Pfizer","eastern cape","Adults","1078744"
"Pfizer","free state","12-17 Years","56531"
"Pfizer","free state","Adults","566268"
"Pfizer","gauteng","12-17 Years","129678"
"Pfizer","gauteng","Adults","3265593"
"Pfizer","kwazulu-natal","12-17 Years","67242"
"Pfizer","kwazulu-natal","Adults","1561159"
"Pfizer","limpopo","12-17 Years","59815"
"Pfizer","limpopo","Adults","842317"
"Pfizer","mpumalanga","12-17 Years","28999"
"Pfizer","mpumalanga","Adults","447178"
"Pfizer","northern cape","12-17 Years","7414"
"Pfizer","northern cape","Adults","184826"
"Pfizer","north west","12-17 Years","37295"
"Pfizer","north west","Adults","517109"
"Pfizer","western cape","12-17 Years","47480"
"Pfizer","western cape","Adults","1819361"
