"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","505968"
"kwazulu-natal","Private Health","1174137"
"western cape","Private Health","1818711"
"limpopo","Private Health","563759"
"northern cape","Public Health","537701"
"gauteng","Private Health","4312137"
"kwazulu-natal","Public Health","4156533"
"free state","Public Health","1692783"
"north west","Public Health","1647287"
"gauteng","Public Health","5431096"
"mpumalanga","Private Health","380397"
"mpumalanga","Public Health","1692539"
"northern cape","Private Health","148541"
"eastern cape","Private Health","655128"
"western cape","Public Health","3514904"
"limpopo","Public Health","2833631"
"free state","Private Health","371852"
"eastern cape","Public Health","3146483"
