"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","914154"
"Janssen Vaccines & Prevention B.V","free state","Adults","485684"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1536093"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1234492"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1076050"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","820438"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","214442"
"Janssen Vaccines & Prevention B.V","north west","Adults","711681"
"Janssen Vaccines & Prevention B.V","western cape","Adults","748012"
"Pfizer","eastern cape","12-17 Years","95331"
"Pfizer","eastern cape","Adults","1118874"
"Pfizer","free state","12-17 Years","77637"
"Pfizer","free state","Adults","588480"
"Pfizer","gauteng","12-17 Years","169699"
"Pfizer","gauteng","Adults","3373843"
"Pfizer","kwazulu-natal","12-17 Years","120796"
"Pfizer","kwazulu-natal","Adults","1636881"
"Pfizer","limpopo","12-17 Years","91671"
"Pfizer","limpopo","Adults","873091"
"Pfizer","mpumalanga","12-17 Years","46309"
"Pfizer","mpumalanga","Adults","468507"
"Pfizer","northern cape","12-17 Years","11671"
"Pfizer","northern cape","Adults","192205"
"Pfizer","north west","12-17 Years","52502"
"Pfizer","north west","Adults","537047"
"Pfizer","western cape","12-17 Years","52419"
"Pfizer","western cape","Adults","1857084"
