"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","532339"
"kwazulu-natal","Private Health","1224514"
"western cape","Private Health","1902249"
"limpopo","Private Health","597124"
"northern cape","Public Health","590249"
"gauteng","Private Health","4519419"
"kwazulu-natal","Public Health","4555292"
"free state","Public Health","1827455"
"north west","Public Health","1765590"
"gauteng","Public Health","5760530"
"mpumalanga","Private Health","399535"
"mpumalanga","Public Health","1867790"
"northern cape","Private Health","156143"
"eastern cape","Private Health","685456"
"western cape","Public Health","3640939"
"limpopo","Public Health","3086569"
"free state","Private Health","395347"
"eastern cape","Public Health","3440076"
