"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","99"
"eastern cape","Public Health","1964"
"free state","Private Health","30"
"free state","Public Health","588"
"gauteng","Private Health","731"
"gauteng","Public Health","1208"
"kwazulu-natal","Private Health","142"
"kwazulu-natal","Public Health","1555"
"limpopo","Private Health","181"
"limpopo","Public Health","909"
"mpumalanga","Private Health","63"
"mpumalanga","Public Health","938"
"northern cape","Private Health","21"
"northern cape","Public Health","263"
"north west","Private Health","58"
"north west","Public Health","221"
"western cape","Private Health","231"
"western cape","Public Health","553"
