"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","43"
"Janssen Vaccines & Prevention B.V","free state","Adults","54"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","335"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","228"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","80"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","169"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","22"
"Janssen Vaccines & Prevention B.V","north west","Adults","62"
"Janssen Vaccines & Prevention B.V","western cape","Adults","76"
"Pfizer","eastern cape","12-17 Years","485"
"Pfizer","eastern cape","Adults","306"
"Pfizer","free state","12-17 Years","11"
"Pfizer","free state","Adults","123"
"Pfizer","gauteng","12-17 Years","92"
"Pfizer","gauteng","Adults","397"
"Pfizer","kwazulu-natal","12-17 Years","230"
"Pfizer","kwazulu-natal","Adults","309"
"Pfizer","limpopo","12-17 Years","200"
"Pfizer","limpopo","Adults","137"
"Pfizer","mpumalanga","12-17 Years","162"
"Pfizer","mpumalanga","Adults","115"
"Pfizer","northern cape","12-17 Years","104"
"Pfizer","northern cape","Adults","26"
"Pfizer","north west","12-17 Years","19"
"Pfizer","north west","Adults","42"
"Pfizer","western cape","12-17 Years","63"
"Pfizer","western cape","Adults","131"
