"province","health_sector","total_number_vaccines_administered"
"gauteng","","1"
"north west","Private Health","537205"
"kwazulu-natal","Private Health","1236923"
"western cape","Private Health","1922431"
"limpopo","Private Health","609328"
"northern cape","Public Health","609434"
"gauteng","Private Health","4574914"
"kwazulu-natal","Public Health","4666580"
"free state","Public Health","1866337"
"north west","Public Health","1786884"
"gauteng","Public Health","5840745"
"mpumalanga","Private Health","406442"
"mpumalanga","Public Health","1932572"
"northern cape","Private Health","158095"
"eastern cape","Private Health","694284"
"western cape","Public Health","3684656"
"limpopo","Public Health","3147083"
"free state","Private Health","400609"
"eastern cape","Public Health","3552700"
