"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10069","5021","15090"
"National","eastern cape","Private Health","Male","8541","3914","12455"
"National","eastern cape","Public Health","Female","151034","62510","213544"
"National","eastern cape","Public Health","Male","125234","45986","171220"
"National","free state","Private Health","Female","9076","4640","13716"
"National","free state","Private Health","Male","7509","3603","11112"
"National","free state","Public Health","Female","82816","40923","123739"
"National","free state","Public Health","Male","71019","30894","101913"
"National","gauteng","Private Health","Female","52290","29903","82193"
"National","gauteng","Private Health","Male","48063","25743","73806"
"National","gauteng","Public Health","Female","159978","65825","225803"
"National","gauteng","Public Health","Male","126811","48605","175416"
"National","kwazulu-natal","Private Health","Female","16494","9399","25893"
"National","kwazulu-natal","Private Health","Male","15040","8125","23165"
"National","kwazulu-natal","Public Health","Female","156247","72206","228453"
"National","kwazulu-natal","Public Health","Male","106643","44006","150649"
"National","limpopo","Private Health","Female","11735","5352","17087"
"National","limpopo","Private Health","Male","9106","3720","12826"
"National","limpopo","Public Health","Female","144555","51852","196407"
"National","limpopo","Public Health","Male","124860","38867","163727"
"National","mpumalanga","Private Health","Female","3854","1693","5547"
"National","mpumalanga","Private Health","Male","3382","1504","4886"
"National","mpumalanga","Public Health","Female","77495","29721","107216"
"National","mpumalanga","Public Health","Male","63715","20465","84180"
"National","northern cape","Private Health","Female","2077","1044","3121"
"National","northern cape","Private Health","Male","1907","812","2719"
"National","northern cape","Public Health","Female","18248","7576","25824"
"National","northern cape","Public Health","Male","14340","5561","19901"
"National","north west","Private Health","Female","5054","2387","7441"
"National","north west","Private Health","Male","4606","2021","6627"
"National","north west","Public Health","Female","77114","27788","104902"
"National","north west","Public Health","Male","64081","20417","84498"
"National","western cape","Private Health","Female","22783","12515","35298"
"National","western cape","Private Health","Male","20683","10857","31540"
"National","western cape","Public Health","Female","48292","17007","65299"
"National","western cape","Public Health","Male","40465","13966","54431"
