"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","539130"
"free state","","6"
"kwazulu-natal","Private Health","1239100"
"western cape","Private Health","1925361"
"limpopo","Private Health","612868"
"northern cape","Public Health","620436"
"gauteng","Private Health","4593776"
"kwazulu-natal","Public Health","4710718"
"mpumalanga","","23"
"free state","Public Health","1882606"
"north west","Public Health","1811237"
"gauteng","Public Health","5915606"
"mpumalanga","Private Health","407026"
"mpumalanga","Public Health","1966305"
"western cape","","3"
"northern cape","Private Health","158545"
"eastern cape","Private Health","695816"
"western cape","Public Health","3715836"
"limpopo","Public Health","3200738"
"limpopo","","2"
"free state","Private Health","402894"
"eastern cape","Public Health","3638683"
