"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","12"
"eastern cape","Public Health","1987"
"free state","Private Health","42"
"free state","Public Health","362"
"gauteng","Private Health","281"
"gauteng","Public Health","1200"
"kwazulu-natal","Private Health","31"
"kwazulu-natal","Public Health","854"
"limpopo","Private Health","87"
"limpopo","Public Health","1230"
"mpumalanga","Private Health","2"
"mpumalanga","Public Health","869"
"northern cape","Private Health","8"
"northern cape","Public Health","194"
"north west","Private Health","32"
"north west","Public Health","438"
"western cape","Private Health","8"
"western cape","Public Health","545"
