"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","85"
"Janssen Vaccines & Prevention B.V","free state","Adults","21"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","278"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","134"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","158"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","125"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","8"
"Janssen Vaccines & Prevention B.V","north west","Adults","45"
"Janssen Vaccines & Prevention B.V","western cape","Adults","84"
"Pfizer","eastern cape","12-17 Years","38"
"Pfizer","eastern cape","Adults","246"
"Pfizer","free state","12-17 Years","11"
"Pfizer","free state","Adults","63"
"Pfizer","gauteng","12-17 Years","39"
"Pfizer","gauteng","Adults","231"
"Pfizer","kwazulu-natal","12-17 Years","15"
"Pfizer","kwazulu-natal","Adults","112"
"Pfizer","limpopo","12-17 Years","34"
"Pfizer","limpopo","Adults","125"
"Pfizer","mpumalanga","12-17 Years","37"
"Pfizer","mpumalanga","Adults","96"
"Pfizer","northern cape","12-17 Years","0"
"Pfizer","northern cape","Adults","20"
"Pfizer","north west","12-17 Years","2"
"Pfizer","north west","Adults","39"
"Pfizer","western cape","12-17 Years","12"
"Pfizer","western cape","Adults","89"
