"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","17"
"eastern cape","Public Health","1040"
"free state","Private Health","22"
"free state","Public Health","350"
"gauteng","Private Health","262"
"gauteng","Public Health","904"
"kwazulu-natal","Private Health","26"
"kwazulu-natal","Public Health","577"
"limpopo","Private Health","79"
"limpopo","Public Health","827"
"mpumalanga","Private Health","4"
"mpumalanga","Public Health","555"
"northern cape","Private Health","6"
"northern cape","Public Health","106"
"north west","Private Health","31"
"north west","Public Health","213"
"western cape","Private Health","54"
"western cape","Public Health","388"
