"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","28"
"eastern cape","Public Health","64"
"free state","Private Health","1"
"free state","Public Health","8"
"gauteng","Private Health","468"
"gauteng","Public Health","184"
"kwazulu-natal","Private Health","191"
"kwazulu-natal","Public Health","255"
"limpopo","Private Health","49"
"limpopo","Public Health","13"
"mpumalanga","Private Health","64"
"mpumalanga","Public Health","73"
"northern cape","Private Health","6"
"northern cape","Public Health","28"
"north west","Private Health","21"
"north west","Public Health","147"
"western cape","Private Health","152"
"western cape","Public Health","6"
