"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","25"
"eastern cape","Public Health","1025"
"free state","Private Health","18"
"free state","Public Health","341"
"gauteng","Private Health","247"
"gauteng","Public Health","1005"
"kwazulu-natal","Private Health","58"
"kwazulu-natal","Public Health","673"
"limpopo","Private Health","89"
"limpopo","Public Health","811"
"mpumalanga","Private Health","3"
"mpumalanga","Public Health","684"
"northern cape","Private Health","14"
"northern cape","Public Health","169"
"north west","Private Health","14"
"north west","Public Health","213"
"western cape","Private Health","32"
"western cape","Public Health","456"
