"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","533343"
"kwazulu-natal","Private Health","1227309"
"western cape","Private Health","1906993"
"limpopo","Private Health","598840"
"northern cape","Public Health","596320"
"gauteng","Private Health","4531158"
"kwazulu-natal","Public Health","4577935"
"free state","Public Health","1835146"
"north west","Public Health","1770774"
"gauteng","Public Health","5775307"
"mpumalanga","Private Health","401894"
"mpumalanga","Public Health","1882725"
"northern cape","Private Health","156451"
"eastern cape","Private Health","687344"
"western cape","Public Health","3648303"
"limpopo","Public Health","3094842"
"free state","Private Health","396233"
"eastern cape","Public Health","3456542"
