"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10465","5123","15588"
"National","eastern cape","Private Health","Male","8853","3978","12831"
"National","eastern cape","Public Health","Female","143830","51068","194898"
"National","eastern cape","Public Health","Male","117975","35781","153756"
"National","free state","Private Health","Female","9151","4604","13755"
"National","free state","Private Health","Male","7509","3492","11001"
"National","free state","Public Health","Female","83671","39858","123529"
"National","free state","Public Health","Male","71540","29827","101367"
"National","gauteng","Private Health","Female","53697","30351","84048"
"National","gauteng","Private Health","Male","49296","25986","75282"
"National","gauteng","Public Health","Female","163158","65729","228887"
"National","gauteng","Public Health","Male","128931","48200","177131"
"National","kwazulu-natal","Private Health","Female","17155","9699","26854"
"National","kwazulu-natal","Private Health","Male","15520","8260","23780"
"National","kwazulu-natal","Public Health","Female","156268","64668","220936"
"National","kwazulu-natal","Public Health","Male","106394","39293","145687"
"National","limpopo","Private Health","Female","11802","5182","16984"
"National","limpopo","Private Health","Male","9198","3626","12824"
"National","limpopo","Public Health","Female","140935","47669","188604"
"National","limpopo","Public Health","Male","122430","35682","158112"
"National","mpumalanga","Private Health","Female","4020","1730","5750"
"National","mpumalanga","Private Health","Male","3504","1524","5028"
"National","mpumalanga","Public Health","Female","75492","25537","101029"
"National","mpumalanga","Public Health","Male","62709","17832","80541"
"National","northern cape","Private Health","Female","2135","1067","3202"
"National","northern cape","Private Health","Male","1957","814","2771"
"National","northern cape","Public Health","Female","17160","5789","22949"
"National","northern cape","Public Health","Male","13434","4262","17696"
"National","north west","Private Health","Female","5240","2442","7682"
"National","north west","Private Health","Male","4744","2048","6792"
"National","north west","Public Health","Female","78853","27935","106788"
"National","north west","Public Health","Male","65330","20223","85553"
"National","western cape","Private Health","Female","23616","12742","36358"
"National","western cape","Private Health","Male","21252","10989","32241"
"National","western cape","Public Health","Female","46943","15869","62812"
"National","western cape","Public Health","Male","39212","13018","52230"
