"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538542"
"kwazulu-natal","Private Health","1238502"
"western cape","Private Health","1924677"
"limpopo","Private Health","612088"
"northern cape","Public Health","617390"
"gauteng","Private Health","4588933"
"kwazulu-natal","Public Health","4700541"
"mpumalanga","","22"
"free state","Public Health","1878864"
"north west","Public Health","1803953"
"gauteng","Public Health","5891322"
"mpumalanga","Private Health","406919"
"mpumalanga","Public Health","1958768"
"western cape","","3"
"northern cape","Private Health","158484"
"eastern cape","Private Health","695516"
"western cape","Public Health","3706451"
"limpopo","Public Health","3189053"
"limpopo","","2"
"free state","Private Health","402241"
"eastern cape","Public Health","3616799"
