"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","355"
"Janssen Vaccines & Prevention B.V","free state","Adults","189"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1126"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","485"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","460"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","549"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","108"
"Janssen Vaccines & Prevention B.V","north west","Adults","189"
"Janssen Vaccines & Prevention B.V","western cape","Adults","348"
"Pfizer","eastern cape","12-17 Years","581"
"Pfizer","eastern cape","Adults","485"
"Pfizer","free state","12-17 Years","388"
"Pfizer","free state","Adults","340"
"Pfizer","gauteng","12-17 Years","714"
"Pfizer","gauteng","Adults","1649"
"Pfizer","kwazulu-natal","12-17 Years","492"
"Pfizer","kwazulu-natal","Adults","888"
"Pfizer","limpopo","12-17 Years","809"
"Pfizer","limpopo","Adults","421"
"Pfizer","mpumalanga","12-17 Years","562"
"Pfizer","mpumalanga","Adults","300"
"Pfizer","northern cape","12-17 Years","108"
"Pfizer","northern cape","Adults","133"
"Pfizer","north west","12-17 Years","139"
"Pfizer","north west","Adults","234"
"Pfizer","western cape","12-17 Years","175"
"Pfizer","western cape","Adults","729"
