"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","366"
"eastern cape","Public Health","3846"
"free state","Private Health","342"
"free state","Public Health","2333"
"gauteng","Private Health","3049"
"gauteng","Public Health","5182"
"kwazulu-natal","Private Health","686"
"kwazulu-natal","Public Health","4127"
"limpopo","Private Health","486"
"limpopo","Public Health","4836"
"mpumalanga","Private Health","270"
"mpumalanga","Public Health","2916"
"northern cape","Private Health","157"
"northern cape","Public Health","975"
"north west","Private Health","317"
"north west","Public Health","1338"
"western cape","Private Health","1192"
"western cape","Public Health","2450"
