"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","67","0","106","173"
"Janssen Vaccines & Prevention B.V","free state","Adults","21","0","79","100"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","245","0","147","392"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","129","0","97","226"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","65","0","121","186"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","95","0","115","210"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","21","0","21","42"
"Janssen Vaccines & Prevention B.V","north west","Adults","39","0","46","85"
"Janssen Vaccines & Prevention B.V","western cape","Adults","88","0","68","156"
"Pfizer","eastern cape","12-17 Years","598","401","0","999"
"Pfizer","eastern cape","Adults","180","223","335","738"
"Pfizer","free state","12-17 Years","92","88","0","180"
"Pfizer","free state","Adults","54","55","117","226"
"Pfizer","gauteng","12-17 Years","79","63","0","142"
"Pfizer","gauteng","Adults","230","240","300","770"
"Pfizer","kwazulu-natal","12-17 Years","32","36","0","68"
"Pfizer","kwazulu-natal","Adults","119","153","162","434"
"Pfizer","limpopo","12-17 Years","53","86","0","139"
"Pfizer","limpopo","Adults","51","61","69","181"
"Pfizer","mpumalanga","12-17 Years","83","203","0","286"
"Pfizer","mpumalanga","Adults","68","61","33","162"
"Pfizer","northern cape","12-17 Years","53","89","0","142"
"Pfizer","northern cape","Adults","16","14","9","39"
"Pfizer","north west","12-17 Years","4","2","0","6"
"Pfizer","north west","Adults","20","21","35","76"
"Pfizer","western cape","12-17 Years","50","26","0","76"
"Pfizer","western cape","Adults","84","96","127","307"
