"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","11"
"eastern cape","Public Health","1899"
"free state","Private Health","28"
"free state","Public Health","478"
"gauteng","Private Health","294"
"gauteng","Public Health","1010"
"kwazulu-natal","Private Health","40"
"kwazulu-natal","Public Health","688"
"limpopo","Private Health","66"
"limpopo","Public Health","440"
"mpumalanga","Private Health","14"
"mpumalanga","Public Health","644"
"northern cape","Private Health","9"
"northern cape","Public Health","214"
"north west","Private Health","43"
"north west","Public Health","124"
"western cape","Private Health","40"
"western cape","Public Health","499"
