"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","9"
"eastern cape","Public Health","996"
"free state","Private Health","37"
"free state","Public Health","244"
"gauteng","Private Health","249"
"gauteng","Public Health","1266"
"kwazulu-natal","Private Health","10"
"kwazulu-natal","Public Health","690"
"limpopo","Private Health","48"
"limpopo","Public Health","904"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","485"
"northern cape","Private Health","11"
"northern cape","Public Health","214"
"north west","Private Health","20"
"north west","Public Health","454"
"western cape","Private Health","11"
"western cape","Public Health","276"
