"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","158","0","159","317"
"Janssen Vaccines & Prevention B.V","free state","Adults","24","0","62","86"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","342","0","199","541"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","158","0","117","275"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","138","0","252","390"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","94","0","116","210"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","17","0","26","43"
"Janssen Vaccines & Prevention B.V","north west","Adults","66","0","119","185"
"Janssen Vaccines & Prevention B.V","western cape","Adults","55","0","38","93"
"Pfizer","eastern cape","12-17 Years","151","62","0","213"
"Pfizer","eastern cape","Adults","141","165","169","475"
"Pfizer","free state","12-17 Years","31","8","0","39"
"Pfizer","free state","Adults","30","55","71","156"
"Pfizer","gauteng","12-17 Years","95","46","1","142"
"Pfizer","gauteng","Adults","204","345","283","832"
"Pfizer","kwazulu-natal","12-17 Years","30","19","0","49"
"Pfizer","kwazulu-natal","Adults","134","157","85","376"
"Pfizer","limpopo","12-17 Years","74","78","0","152"
"Pfizer","limpopo","Adults","112","150","148","410"
"Pfizer","mpumalanga","12-17 Years","55","54","0","109"
"Pfizer","mpumalanga","Adults","47","66","54","167"
"Pfizer","northern cape","12-17 Years","108","7","0","115"
"Pfizer","northern cape","Adults","14","27","26","67"
"Pfizer","north west","12-17 Years","18","10","0","28"
"Pfizer","north west","Adults","67","75","119","261"
"Pfizer","western cape","12-17 Years","3","2","0","5"
"Pfizer","western cape","Adults","44","68","77","189"
