"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","89"
"eastern cape","Public Health","208"
"free state","Private Health","40"
"free state","Public Health","160"
"gauteng","Private Health","1216"
"gauteng","Public Health","197"
"kwazulu-natal","Private Health","301"
"kwazulu-natal","Public Health","334"
"limpopo","Private Health","79"
"limpopo","Public Health","122"
"mpumalanga","Private Health","73"
"mpumalanga","Public Health","135"
"northern cape","Private Health","24"
"northern cape","Public Health","187"
"north west","Private Health","42"
"north west","Public Health","195"
"western cape","Private Health","294"
"western cape","Public Health","69"
