"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","49","0","66","115"
"Janssen Vaccines & Prevention B.V","free state","Adults","30","0","67","97"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","140","0","44","184"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","70","0","60","130"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","33","0","27","60"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","44","0","25","69"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","15","0","27","42"
"Janssen Vaccines & Prevention B.V","north west","Adults","11","0","30","41"
"Janssen Vaccines & Prevention B.V","western cape","Adults","21","0","26","47"
"Pfizer","eastern cape","12-17 Years","5","26","0","31"
"Pfizer","eastern cape","Adults","26","52","73","151"
"Pfizer","free state","12-17 Years","8","19","0","27"
"Pfizer","free state","Adults","17","16","43","76"
"Pfizer","gauteng","12-17 Years","58","92","0","150"
"Pfizer","gauteng","Adults","231","370","478","1079"
"Pfizer","kwazulu-natal","12-17 Years","33","40","0","73"
"Pfizer","kwazulu-natal","Adults","120","154","158","432"
"Pfizer","limpopo","12-17 Years","17","10","0","27"
"Pfizer","limpopo","Adults","36","48","30","114"
"Pfizer","mpumalanga","12-17 Years","10","4","0","14"
"Pfizer","mpumalanga","Adults","25","41","59","125"
"Pfizer","northern cape","12-17 Years","11","9","0","20"
"Pfizer","northern cape","Adults","45","59","45","149"
"Pfizer","north west","12-17 Years","6","33","0","39"
"Pfizer","north west","Adults","44","49","64","157"
"Pfizer","western cape","12-17 Years","14","36","0","50"
"Pfizer","western cape","Adults","33","64","169","266"
