"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","886429"
"Janssen Vaccines & Prevention B.V","free state","Adults","472213"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1471913"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1185906"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1046618"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","780384"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","208273"
"Janssen Vaccines & Prevention B.V","north west","Adults","693168"
"Janssen Vaccines & Prevention B.V","western cape","Adults","729244"
"Pfizer","eastern cape","12-17 Years","49826"
"Pfizer","eastern cape","Adults","1078964"
"Pfizer","free state","12-17 Years","56525"
"Pfizer","free state","Adults","566367"
"Pfizer","gauteng","12-17 Years","129978"
"Pfizer","gauteng","Adults","3266974"
"Pfizer","kwazulu-natal","12-17 Years","67456"
"Pfizer","kwazulu-natal","Adults","1561773"
"Pfizer","limpopo","12-17 Years","59888"
"Pfizer","limpopo","Adults","842493"
"Pfizer","mpumalanga","12-17 Years","29043"
"Pfizer","mpumalanga","Adults","447294"
"Pfizer","northern cape","12-17 Years","7411"
"Pfizer","northern cape","Adults","184855"
"Pfizer","north west","12-17 Years","37435"
"Pfizer","north west","Adults","517361"
"Pfizer","western cape","12-17 Years","47493"
"Pfizer","western cape","Adults","1819689"
