"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10682","4691","15373"
"National","eastern cape","Private Health","Male","8875","3539","12414"
"National","eastern cape","Public Health","Female","117229","25042","142271"
"National","eastern cape","Public Health","Male","93934","16554","110488"
"National","free state","Private Health","Female","8806","3801","12607"
"National","free state","Private Health","Male","7182","2900","10082"
"National","free state","Public Health","Female","75974","28938","104912"
"National","free state","Public Health","Male","64272","20886","85158"
"National","gauteng","Private Health","Female","54065","27647","81712"
"National","gauteng","Private Health","Male","48969","23251","72220"
"National","gauteng","Public Health","Female","145017","45435","190452"
"National","gauteng","Public Health","Male","114450","33645","148095"
"National","kwazulu-natal","Private Health","Female","17500","9164","26664"
"National","kwazulu-natal","Private Health","Male","15723","7717","23440"
"National","kwazulu-natal","Public Health","Female","118110","31313","149423"
"National","kwazulu-natal","Public Health","Male","80039","19262","99301"
"National","limpopo","Private Health","Female","10483","4334","14817"
"National","limpopo","Private Health","Male","8264","3108","11372"
"National","limpopo","Public Health","Female","112249","29853","142102"
"National","limpopo","Public Health","Male","94170","22593","116763"
"National","mpumalanga","Private Health","Female","4037","1551","5588"
"National","mpumalanga","Private Health","Male","3510","1331","4841"
"National","mpumalanga","Public Health","Female","62449","15176","77625"
"National","mpumalanga","Public Health","Male","52428","10985","63413"
"National","northern cape","Private Health","Female","2139","971","3110"
"National","northern cape","Private Health","Male","1927","705","2632"
"National","northern cape","Public Health","Female","11126","3281","14407"
"National","northern cape","Public Health","Male","8916","2454","11370"
"National","north west","Private Health","Female","5208","2217","7425"
"National","north west","Private Health","Male","4692","1875","6567"
"National","north west","Public Health","Female","71636","19379","91015"
"National","north west","Public Health","Male","59388","13964","73352"
"National","western cape","Private Health","Female","23596","11418","35014"
"National","western cape","Private Health","Male","20998","9658","30656"
"National","western cape","Public Health","Female","46637","14566","61203"
"National","western cape","Public Health","Male","38538","11851","50389"
