"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","506211"
"kwazulu-natal","Private Health","1175267"
"western cape","Private Health","1820018"
"limpopo","Private Health","564324"
"northern cape","Public Health","537735"
"gauteng","Private Health","4316077"
"kwazulu-natal","Public Health","4159141"
"free state","Public Health","1693009"
"north west","Public Health","1648924"
"gauteng","Public Health","5433737"
"mpumalanga","Private Health","380620"
"mpumalanga","Public Health","1693221"
"northern cape","Private Health","148617"
"eastern cape","Private Health","655446"
"western cape","Public Health","3515144"
"limpopo","Public Health","2833985"
"free state","Private Health","371940"
"eastern cape","Public Health","3147185"
