"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536574"
"kwazulu-natal","Private Health","1235784"
"western cape","Private Health","1920900"
"limpopo","Private Health","607799"
"northern cape","Public Health","606972"
"gauteng","Private Health","4568494"
"kwazulu-natal","Public Health","4652749"
"free state","Public Health","1860510"
"north west","Public Health","1783030"
"gauteng","Public Health","5825632"
"mpumalanga","Private Health","406042"
"mpumalanga","Public Health","1923391"
"northern cape","Private Health","157891"
"eastern cape","Private Health","693807"
"western cape","Public Health","3676243"
"limpopo","Public Health","3137363"
"free state","Private Health","399952"
"eastern cape","Public Health","3531558"
