"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10223","5093","15316"
"National","eastern cape","Private Health","Male","8638","3943","12581"
"National","eastern cape","Public Health","Female","149325","60671","209996"
"National","eastern cape","Public Health","Male","123360","44237","167597"
"National","free state","Private Health","Female","9111","4637","13748"
"National","free state","Private Health","Male","7508","3587","11095"
"National","free state","Public Health","Female","83274","40931","124205"
"National","free state","Public Health","Male","71321","30807","102128"
"National","gauteng","Private Health","Female","52800","30162","82962"
"National","gauteng","Private Health","Male","48498","25920","74418"
"National","gauteng","Public Health","Female","160930","65977","226907"
"National","gauteng","Public Health","Male","127405","48614","176019"
"National","kwazulu-natal","Private Health","Female","16685","9524","26209"
"National","kwazulu-natal","Private Health","Male","15181","8189","23370"
"National","kwazulu-natal","Public Health","Female","157275","72140","229415"
"National","kwazulu-natal","Public Health","Male","107298","43846","151144"
"National","limpopo","Private Health","Female","11809","5352","17161"
"National","limpopo","Private Health","Male","9188","3707","12895"
"National","limpopo","Public Health","Female","144741","51244","195985"
"National","limpopo","Public Health","Male","125005","38331","163336"
"National","mpumalanga","Private Health","Female","3901","1703","5604"
"National","mpumalanga","Private Health","Male","3419","1520","4939"
"National","mpumalanga","Public Health","Female","77310","28689","105999"
"National","mpumalanga","Public Health","Male","63639","19760","83399"
"National","northern cape","Private Health","Female","2100","1047","3147"
"National","northern cape","Private Health","Male","1924","819","2743"
"National","northern cape","Public Health","Female","18116","7338","25454"
"National","northern cape","Public Health","Male","14256","5389","19645"
"National","north west","Private Health","Female","5120","2414","7534"
"National","north west","Private Health","Male","4646","2032","6678"
"National","north west","Public Health","Female","77709","27931","105640"
"National","north west","Public Health","Male","64482","20430","84912"
"National","western cape","Private Health","Female","23058","12642","35700"
"National","western cape","Private Health","Male","20879","10948","31827"
"National","western cape","Public Health","Female","48359","16735","65094"
"National","western cape","Public Health","Male","40491","13751","54242"
