"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","4"
"eastern cape","Public Health","253"
"free state","Private Health","2"
"gauteng","Private Health","218"
"gauteng","Public Health","916"
"kwazulu-natal","Private Health","76"
"kwazulu-natal","Public Health","1059"
"limpopo","Private Health","46"
"limpopo","Public Health","208"
"mpumalanga","Public Health","40"
"northern cape","Private Health","15"
"north west","Private Health","35"
"north west","Public Health","695"
"western cape","Private Health","21"
"western cape","Public Health","50"
