"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","107"
"Janssen Vaccines & Prevention B.V","free state","Adults","23"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","147"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","118"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","44"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","136"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","42"
"Janssen Vaccines & Prevention B.V","north west","Adults","90"
"Janssen Vaccines & Prevention B.V","western cape","Adults","16"
"Pfizer","eastern cape","12-17 Years","38"
"Pfizer","eastern cape","Adults","209"
"Pfizer","free state","12-17 Years","10"
"Pfizer","free state","Adults","27"
"Pfizer","gauteng","12-17 Years","62"
"Pfizer","gauteng","Adults","222"
"Pfizer","kwazulu-natal","12-17 Years","55"
"Pfizer","kwazulu-natal","Adults","143"
"Pfizer","limpopo","12-17 Years","57"
"Pfizer","limpopo","Adults","69"
"Pfizer","mpumalanga","12-17 Years","21"
"Pfizer","mpumalanga","Adults","78"
"Pfizer","northern cape","12-17 Years","14"
"Pfizer","northern cape","Adults","51"
"Pfizer","north west","12-17 Years","33"
"Pfizer","north west","Adults","147"
"Pfizer","western cape","12-17 Years","13"
"Pfizer","western cape","Adults","60"
