"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","61"
"eastern cape","Public Health","1169"
"free state","Private Health","17"
"free state","Public Health","144"
"gauteng","Private Health","550"
"gauteng","Public Health","511"
"kwazulu-natal","Private Health","158"
"kwazulu-natal","Public Health","733"
"limpopo","Private Health","32"
"limpopo","Public Health","834"
"mpumalanga","Private Health","53"
"mpumalanga","Public Health","497"
"northern cape","Private Health","9"
"northern cape","Public Health","363"
"north west","Private Health","24"
"north west","Public Health","693"
"western cape","Private Health","73"
"western cape","Public Health","158"
